order_id,user_id,status,gender,created_at,returned_at,shipped_at,delivered_at,num_of_item
23,17,Shipped,F,2023-06-09 15:06:00 UTC,,2023-06-11 06:19:00 UTC,,1
75,57,Shipped,F,2023-02-22 11:33:00 UTC,,2023-02-25 04:31:00 UTC,,1
87,73,Shipped,F,2023-05-22 07:09:00 UTC,,2023-05-23 01:46:00 UTC,,1
120,99,Shipped,F,2023-03-04 15:23:00 UTC,,2023-03-06 10:02:00 UTC,,1
123,100,Shipped,F,2023-06-09 09:23:00 UTC,,2023-06-11 16:59:00 UTC,,1
218,180,Shipped,F,2023-06-19 09:12:00 UTC,,2023-06-21 15:37:00 UTC,,1
227,189,Shipped,F,2023-04-23 14:08:00 UTC,,2023-04-26 02:30:00 UTC,,1
292,236,Shipped,F,2023-02-24 08:01:00 UTC,,2023-02-24 11:24:00 UTC,,1
307,249,Shipped,F,2023-03-08 00:14:00 UTC,,2023-03-09 09:32:00 UTC,,1
316,256,Shipped,F,2023-05-29 05:07:00 UTC,,2023-05-29 05:09:00 UTC,,2
360,294,Shipped,F,2023-03-02 15:32:00 UTC,,2023-03-03 13:26:00 UTC,,1
377,310,Shipped,F,2023-04-05 11:27:00 UTC,,2023-04-06 18:25:00 UTC,,1
425,350,Shipped,F,2023-05-19 01:58:00 UTC,,2023-05-19 18:11:00 UTC,,1
432,358,Shipped,F,2023-05-08 18:37:00 UTC,,2023-05-09 01:42:00 UTC,,1
434,359,Shipped,F,2023-03-24 08:29:00 UTC,,2023-03-25 06:14:00 UTC,,1
477,390,Shipped,F,2023-03-02 05:55:00 UTC,,2023-03-03 22:46:00 UTC,,1
484,395,Shipped,F,2023-02-15 07:14:00 UTC,,2023-02-15 09:30:00 UTC,,1
562,459,Shipped,F,2023-03-28 13:45:00 UTC,,2023-03-30 03:49:00 UTC,,2
638,528,Shipped,F,2023-03-03 14:19:00 UTC,,2023-03-05 17:13:00 UTC,,1
699,584,Shipped,F,2023-05-26 16:45:00 UTC,,2023-05-28 23:18:00 UTC,,2
714,593,Shipped,F,2023-06-18 12:01:00 UTC,,2023-06-19 06:18:00 UTC,,1
760,645,Shipped,F,2023-02-26 07:10:00 UTC,,2023-02-28 01:19:00 UTC,,1
771,654,Shipped,F,2023-06-15 18:48:00 UTC,,2023-06-16 05:12:00 UTC,,1
788,669,Shipped,F,2023-03-13 18:09:00 UTC,,2023-03-14 08:06:00 UTC,,2
798,678,Shipped,F,2023-06-03 12:44:00 UTC,,2023-06-03 18:19:00 UTC,,1
813,694,Shipped,F,2023-02-19 16:14:00 UTC,,2023-02-20 19:18:00 UTC,,1
824,705,Shipped,F,2023-04-22 10:55:00 UTC,,2023-04-25 06:53:00 UTC,,1
836,713,Shipped,F,2023-03-05 13:52:00 UTC,,2023-03-07 01:28:00 UTC,,1
866,732,Shipped,F,2023-05-10 04:54:00 UTC,,2023-05-11 15:34:00 UTC,,1
867,732,Shipped,F,2023-03-15 04:54:00 UTC,,2023-03-17 21:31:00 UTC,,2
868,733,Shipped,F,2023-03-03 01:30:00 UTC,,2023-03-03 18:40:00 UTC,,1
891,751,Shipped,F,2023-06-23 14:36:00 UTC,,2023-06-24 07:34:00 UTC,,1
903,760,Shipped,F,2023-01-05 03:53:00 UTC,,2023-01-06 18:46:00 UTC,,2
906,762,Shipped,F,2023-01-23 11:09:00 UTC,,2023-01-23 14:21:00 UTC,,2
908,764,Shipped,F,2023-03-06 17:20:00 UTC,,2023-03-08 08:26:00 UTC,,1
915,768,Shipped,F,2023-06-01 07:28:00 UTC,,2023-06-01 12:44:00 UTC,,1
927,777,Shipped,F,2023-02-01 06:18:00 UTC,,2023-02-01 19:46:00 UTC,,1
976,817,Shipped,F,2023-06-02 03:23:00 UTC,,2023-06-04 23:07:00 UTC,,3
1027,861,Shipped,F,2023-02-11 16:39:00 UTC,,2023-02-12 17:10:00 UTC,,1
1028,861,Shipped,F,2023-02-11 16:39:00 UTC,,2023-02-12 04:32:00 UTC,,1
1033,863,Shipped,F,2023-03-20 07:16:00 UTC,,2023-03-20 14:17:00 UTC,,1
1072,903,Shipped,F,2023-01-27 06:50:00 UTC,,2023-01-27 16:44:00 UTC,,2
1084,912,Shipped,F,2023-06-13 01:42:00 UTC,,2023-06-14 08:34:00 UTC,,1
1086,912,Shipped,F,2023-06-15 01:42:00 UTC,,2023-06-16 12:42:00 UTC,,1
1093,920,Shipped,F,2023-05-11 07:18:00 UTC,,2023-05-12 05:58:00 UTC,,1
1113,931,Shipped,F,2023-05-10 16:22:00 UTC,,2023-05-10 20:31:00 UTC,,1
1162,967,Shipped,F,2023-06-23 11:54:00 UTC,,2023-06-23 16:06:00 UTC,,2
1177,977,Shipped,F,2023-02-16 00:34:00 UTC,,2023-02-17 02:23:00 UTC,,1
1196,988,Shipped,F,2023-06-14 15:53:00 UTC,,2023-06-15 15:05:00 UTC,,1
1203,991,Shipped,F,2023-04-24 01:38:00 UTC,,2023-04-26 21:58:00 UTC,,1
1312,1076,Shipped,F,2023-02-15 01:07:00 UTC,,2023-02-15 13:33:00 UTC,,1
1327,1085,Shipped,F,2023-06-26 17:00:00 UTC,,2023-06-28 21:57:00 UTC,,2
1332,1088,Shipped,F,2023-01-30 07:20:00 UTC,,2023-02-01 12:21:00 UTC,,1
1342,1094,Shipped,F,2023-04-27 15:28:00 UTC,,2023-04-30 06:15:00 UTC,,1
1347,1096,Shipped,F,2023-01-22 03:30:00 UTC,,2023-01-24 07:33:00 UTC,,1
1352,1099,Shipped,F,2023-03-16 11:59:00 UTC,,2023-03-16 17:51:00 UTC,,4
1360,1102,Shipped,F,2023-05-23 05:52:00 UTC,,2023-05-24 00:40:00 UTC,,2
1370,1110,Shipped,F,2023-06-16 02:42:00 UTC,,2023-06-16 13:56:00 UTC,,3
1393,1129,Shipped,F,2023-05-15 18:17:00 UTC,,2023-05-15 19:08:00 UTC,,1
1419,1145,Shipped,F,2023-03-28 03:44:00 UTC,,2023-03-29 13:03:00 UTC,,2
1449,1167,Shipped,F,2023-06-25 10:37:00 UTC,,2023-06-27 09:31:00 UTC,,4
1578,1270,Shipped,F,2023-01-19 03:59:00 UTC,,2023-01-19 12:47:00 UTC,,1
1628,1319,Shipped,F,2023-04-17 00:36:00 UTC,,2023-04-18 04:36:00 UTC,,1
1632,1323,Shipped,F,2023-05-03 06:00:00 UTC,,2023-05-03 21:30:00 UTC,,1
1658,1342,Shipped,F,2023-06-21 02:14:00 UTC,,2023-06-21 23:30:00 UTC,,1
1662,1347,Shipped,F,2023-04-10 04:49:00 UTC,,2023-04-11 02:38:00 UTC,,1
1752,1410,Shipped,F,2023-03-08 11:39:00 UTC,,2023-03-09 00:31:00 UTC,,1
1760,1416,Shipped,F,2023-06-28 12:28:00 UTC,,2023-06-28 13:25:00 UTC,,1
1772,1424,Shipped,F,2023-05-28 15:44:00 UTC,,2023-05-30 13:07:00 UTC,,1
1778,1431,Shipped,F,2023-06-15 17:58:00 UTC,,2023-06-15 21:03:00 UTC,,1
1781,1433,Shipped,F,2023-04-26 09:20:00 UTC,,2023-04-27 14:12:00 UTC,,1
1824,1471,Shipped,F,2023-04-03 10:48:00 UTC,,2023-04-03 23:47:00 UTC,,1
1871,1511,Shipped,F,2023-06-26 11:18:00 UTC,,2023-06-29 00:07:00 UTC,,1
1876,1514,Shipped,F,2023-03-04 04:37:00 UTC,,2023-03-05 10:46:00 UTC,,2
1891,1522,Shipped,F,2023-04-09 13:39:00 UTC,,2023-04-10 08:25:00 UTC,,1
1902,1528,Shipped,F,2023-04-04 11:46:00 UTC,,2023-04-04 15:02:00 UTC,,1
1942,1554,Shipped,F,2023-06-29 13:31:00 UTC,,2023-07-01 02:17:00 UTC,,1
1969,1574,Shipped,F,2023-06-25 13:43:00 UTC,,2023-06-28 08:42:00 UTC,,1
1978,1583,Shipped,F,2023-02-05 03:48:00 UTC,,2023-02-05 18:43:00 UTC,,1
1995,1601,Shipped,F,2023-06-15 02:20:00 UTC,,2023-06-17 04:21:00 UTC,,1
1998,1606,Shipped,F,2023-03-17 09:03:00 UTC,,2023-03-19 04:58:00 UTC,,1
2004,1612,Shipped,F,2023-06-20 18:11:00 UTC,,2023-06-21 11:21:00 UTC,,1
2019,1623,Shipped,F,2023-06-17 18:55:00 UTC,,2023-06-19 18:28:00 UTC,,1
2029,1631,Shipped,F,2023-05-28 14:53:00 UTC,,2023-05-31 08:37:00 UTC,,1
2088,1667,Shipped,F,2023-04-19 06:51:00 UTC,,2023-04-19 10:28:00 UTC,,2
2145,1714,Shipped,F,2023-01-25 02:49:00 UTC,,2023-01-27 21:56:00 UTC,,2
2181,1736,Shipped,F,2023-03-01 13:29:00 UTC,,2023-03-02 19:50:00 UTC,,1
2182,1736,Shipped,F,2023-01-25 13:29:00 UTC,,2023-01-27 10:22:00 UTC,,2
2189,1739,Shipped,F,2023-06-08 18:14:00 UTC,,2023-06-10 18:47:00 UTC,,1
2197,1744,Shipped,F,2023-01-12 12:35:00 UTC,,2023-01-15 03:19:00 UTC,,1
2220,1768,Shipped,F,2023-06-18 08:11:00 UTC,,2023-06-19 01:49:00 UTC,,1
2248,1792,Shipped,F,2023-04-22 12:17:00 UTC,,2023-04-23 06:57:00 UTC,,2
2255,1796,Shipped,F,2023-06-26 04:57:00 UTC,,2023-06-27 17:45:00 UTC,,1
2263,1801,Shipped,F,2023-06-22 16:55:00 UTC,,2023-06-23 20:52:00 UTC,,2
2324,1867,Shipped,F,2023-03-12 13:13:00 UTC,,2023-03-15 07:00:00 UTC,,1
2330,1870,Shipped,F,2023-03-21 14:15:00 UTC,,2023-03-22 19:24:00 UTC,,1
2342,1877,Shipped,F,2023-02-08 08:27:00 UTC,,2023-02-11 07:55:00 UTC,,1
2344,1877,Shipped,F,2023-02-18 08:27:00 UTC,,2023-02-19 18:33:00 UTC,,2
2345,1877,Shipped,F,2023-01-13 08:27:00 UTC,,2023-01-15 07:22:00 UTC,,1
2347,1878,Shipped,F,2023-06-09 00:02:00 UTC,,2023-06-11 01:04:00 UTC,,1
2364,1893,Shipped,F,2023-06-23 16:30:00 UTC,,2023-06-25 20:05:00 UTC,,2
2417,1946,Shipped,F,2023-03-26 14:22:00 UTC,,2023-03-26 18:45:00 UTC,,2
2428,1953,Shipped,F,2023-03-15 15:12:00 UTC,,2023-03-17 18:01:00 UTC,,1
2465,1984,Shipped,F,2023-04-03 16:22:00 UTC,,2023-04-03 23:50:00 UTC,,2
2522,2025,Shipped,F,2023-06-17 14:54:00 UTC,,2023-06-18 06:05:00 UTC,,1
2613,2092,Shipped,F,2023-06-19 07:54:00 UTC,,2023-06-21 17:48:00 UTC,,2
2633,2108,Shipped,F,2023-05-17 00:39:00 UTC,,2023-05-18 20:57:00 UTC,,2
2777,2216,Shipped,F,2023-03-23 12:53:00 UTC,,2023-03-26 10:34:00 UTC,,1
2902,2307,Shipped,F,2023-06-11 11:58:00 UTC,,2023-06-12 02:33:00 UTC,,1
2904,2309,Shipped,F,2023-05-07 05:54:00 UTC,,2023-05-09 05:09:00 UTC,,1
2948,2345,Shipped,F,2023-04-06 09:18:00 UTC,,2023-04-06 23:10:00 UTC,,1
2980,2368,Shipped,F,2023-05-30 18:57:00 UTC,,2023-06-01 02:54:00 UTC,,1
2992,2379,Shipped,F,2023-03-31 01:52:00 UTC,,2023-03-31 03:26:00 UTC,,1
2996,2386,Shipped,F,2023-06-13 15:14:00 UTC,,2023-06-14 13:50:00 UTC,,1
3004,2393,Shipped,F,2023-01-09 11:47:00 UTC,,2023-01-12 07:26:00 UTC,,1
3020,2405,Shipped,F,2023-06-16 02:09:00 UTC,,2023-06-16 20:31:00 UTC,,1
3021,2405,Shipped,F,2023-03-29 02:09:00 UTC,,2023-03-29 04:26:00 UTC,,1
3050,2430,Shipped,F,2023-02-21 14:50:00 UTC,,2023-02-22 19:28:00 UTC,,2
3051,2431,Shipped,F,2023-04-18 12:13:00 UTC,,2023-04-19 05:40:00 UTC,,1
3066,2441,Shipped,F,2023-06-16 08:56:00 UTC,,2023-06-18 10:34:00 UTC,,1
3075,2451,Shipped,F,2023-05-23 04:48:00 UTC,,2023-05-26 03:58:00 UTC,,4
3098,2472,Shipped,F,2023-01-15 05:38:00 UTC,,2023-01-16 09:09:00 UTC,,1
3099,2472,Shipped,F,2023-01-07 05:38:00 UTC,,2023-01-08 19:27:00 UTC,,1
3113,2488,Shipped,F,2023-01-07 18:26:00 UTC,,2023-01-08 13:20:00 UTC,,1
3135,2503,Shipped,F,2023-02-23 06:49:00 UTC,,2023-02-25 14:11:00 UTC,,1
3144,2512,Shipped,F,2023-05-22 02:16:00 UTC,,2023-05-22 05:59:00 UTC,,1
3150,2515,Shipped,F,2023-06-21 03:28:00 UTC,,2023-06-23 17:32:00 UTC,,4
3157,2524,Shipped,F,2023-01-15 10:28:00 UTC,,2023-01-15 18:42:00 UTC,,2
3186,2544,Shipped,F,2023-03-14 07:47:00 UTC,,2023-03-17 00:36:00 UTC,,1
3192,2548,Shipped,F,2023-06-19 05:24:00 UTC,,2023-06-22 03:12:00 UTC,,1
3200,2556,Shipped,F,2023-06-21 16:07:00 UTC,,2023-06-23 10:48:00 UTC,,2
3201,2556,Shipped,F,2023-05-03 16:07:00 UTC,,2023-05-05 07:27:00 UTC,,1
3243,2590,Shipped,F,2023-01-09 10:53:00 UTC,,2023-01-11 09:38:00 UTC,,1
3289,2625,Shipped,F,2023-05-23 14:36:00 UTC,,2023-05-24 02:20:00 UTC,,2
3318,2639,Shipped,F,2023-02-09 10:38:00 UTC,,2023-02-09 13:32:00 UTC,,1
3323,2642,Shipped,F,2023-05-26 06:40:00 UTC,,2023-05-26 16:53:00 UTC,,1
3329,2646,Shipped,F,2023-03-05 08:55:00 UTC,,2023-03-08 01:25:00 UTC,,2
3360,2672,Shipped,F,2023-03-06 15:53:00 UTC,,2023-03-07 19:02:00 UTC,,1
3368,2677,Shipped,F,2023-01-09 11:43:00 UTC,,2023-01-09 23:14:00 UTC,,1
3419,2713,Shipped,F,2023-03-07 00:43:00 UTC,,2023-03-07 05:20:00 UTC,,1
